FEAT_0,FEAT_1,FEAT_2,FEAT_3,FEAT_4,FEAT_5,FEAT_6,FEAT_7,FEAT_8,FEAT_9,FEAT_10,FEAT_11,FEAT_12,FEAT_13,FEAT_14,FEAT_15,FEAT_16,FEAT_17,CATEGORY
0.04,JOB_B,2,1,-0.04,8,9,0.68,0.84,6,5,0.9,0.3,-0.3,8,CITY_A,0.21,0.14,1
0.58,JOB_B,1,3,-0.58,7,10,0.14,0.04,4,4,0.7,0,0,1,CITY_A,0.01,0.13,1
0.57,JOB_B,0,4,-0.57,7,1,0.25,0.15,10,1,0,0.8,-0.8,5,CITY_A,0.01,0.94,0
0.02,JOB_A,1,2,-0.02,3,2,0.84,0.31,7,6,0,0.4,-0.4,1,CITY_A,0.14,0.5,1
0.01,JOB_A,1,4,-0.01,0,0,0.04,0.71,7,4,0.7,0.3,-0.3,3,CITY_A,0.55,0.18,0
0.18,JOB_A,1,2,-0.18,6,4,0.16,0.06,5,3,0.8,0.5,-0.5,4,CITY_A,0.86,0.54,0
0.04,JOB_A,2,4,-0.04,9,2,0.1,0.09,,9,0,0.1,-0.1,5,CITY_A,0.82,0.03,3
0.54,JOB_A,1,3,-0.54,9,8,0.6,0,2,7,0.4,0.5,-0.5,8,CITY_A,0.24,0,2
0.36,JOB_B,1,3,-0.36,3,5,0.01,0.35,7,10,0.9,0.2,-0.2,4,CITY_A,0.16,0.82,1
0.13,JOB_A,0,4,-0.13,10,6,0.1,0.5,3,1,0.1,0.8,-0.8,0,CITY_A,0.05,0.39,1
0.03,JOB_A,2,3,-0.03,9,6,0.87,0.44,1,6,0.5,0.1,-0.1,3,CITY_A,0.45,0.16,1
0.26,JOB_A,0,4,-0.26,2,8,0.19,0.02,4,7,0,0.1,-0.1,4,CITY_A,0.05,0.03,1
0.03,JOB_A,1,4,-0.03,9,3,0.54,0.07,1,8,0.6,0.2,-0.2,6,CITY_A,0.02,0.17,0
0.36,JOB_B,2,5,-0.36,5,7,0.76,0.3,8,9,0.9,0.3,-0.3,8,CITY_A,0.51,0.41,2
0.7,JOB_A,1,4,-0.7,4,6,0.07,1,,5,0.3,0.3,-0.3,9,CITY_A,0.3,0.83,3
0.37,JOB_B,2,2,-0.37,9,2,0.3,0,1,8,0.5,0.2,-0.2,3,CITY_A,0.4,0.22,1
0.06,JOB_C,1,4,-0.06,0,2,0.01,0.32,4,3,0.6,0.5,-0.5,10,CITY_A,0.72,0.94,0
0.19,JOB_B,2,4,-0.19,6,4,0.26,0.13,0,6,0.7,0.5,-0.5,9,CITY_A,0.58,0.15,1
0.86,JOB_B,0,2,-0.86,9,1,0,0.92,2,4,0.6,0.5,-0.5,3,CITY_A,0.53,0.57,2
0.63,JOB_A,0,4,-0.63,1,2,0.04,0.56,7,0,1,0.6,-0.6,3,CITY_A,0.42,0.92,0
0,JOB_D,0,2,0,6,8,0.39,0.74,,0,0.8,0.2,-0.2,0,CITY_A,0.01,0.24,0
0.06,JOB_A,1,2,-0.06,8,0,0.48,0.34,1,3,0.1,0.2,-0.2,10,CITY_A,0.74,0.8,1
0.36,JOB_A,1,4,-0.36,5,4,0.29,0.02,8,8,0.9,0.3,-0.3,1,CITY_A,0.8,0.13,1
0.51,JOB_A,1,3,-0.51,6,5,0,0.38,4,0,0.7,0.9,-0.9,4,CITY_A,0.03,0.88,1
0.84,JOB_A,2,3,-0.84,0,1,0.61,0.04,5,1,0.1,0.2,-0.2,0,CITY_A,0.43,0.12,2
0.22,JOB_A,1,4,-0.22,5,6,0.06,0,9,7,0.1,0.6,-0.6,10,CITY_A,0,0.38,2
0.87,JOB_D,1,5,-0.87,1,3,0.23,0.02,0,7,0.6,0.5,-0.5,6,CITY_A,0.19,0.02,0
0.21,JOB_A,1,2,-0.21,1,10,0.68,0.36,10,5,0.6,0.1,-0.1,4,CITY_A,0.18,0.69,1
0.19,JOB_B,1,4,-0.19,7,10,0.69,0.27,8,7,0.3,0.7,-0.7,2,CITY_A,0.63,0.21,3
0.35,JOB_B,1,2,-0.35,0,7,0.45,0.76,1,4,0.2,1,-1,2,CITY_A,0.48,0.13,3
0.35,JOB_B,2,5,-0.35,6,6,0.16,0.28,5,5,0.6,0.1,-0.1,2,CITY_A,0.51,0.03,1
0.52,JOB_A,0,4,-0.52,7,7,0.33,0.21,9,0,0.3,0.5,-0.5,10,CITY_A,0.89,0.91,2
0.56,JOB_D,1,5,-0.56,9,10,0.39,0.04,10,10,0.8,0.9,-0.9,6,CITY_A,0.33,0.41,1
0.58,JOB_A,1,5,-0.58,3,1,0.28,0.02,6,10,0.2,0.7,-0.7,2,CITY_A,0.97,0.04,2
0.03,JOB_A,1,3,-0.03,4,7,0.01,0.53,9,10,0.6,0.4,-0.4,3,CITY_A,0.25,0.4,1
0.64,JOB_C,2,1,-0.64,8,0,0.51,0.28,8,8,0.5,0.4,-0.4,1,CITY_A,0.28,0.09,1
0.78,JOB_A,2,3,-0.78,4,2,0.04,0.96,2,8,0.9,1,-1,6,CITY_A,0.84,0.56,3
0.02,JOB_A,1,4,-0.02,4,9,0.05,0.22,10,6,0.6,0.4,-0.4,7,CITY_A,0.76,0.69,1
0.02,JOB_C,0,4,-0.02,5,8,0.42,0.58,9,2,0.2,0.9,-0.9,9,CITY_A,0.62,0.6,1
0.15,JOB_D,2,4,-0.15,4,0,0.15,0.14,,4,0.7,0.8,-0.8,9,CITY_A,0.05,0.16,0
0.04,JOB_B,1,1,-0.04,3,1,0.06,0.96,0,2,0.8,0,0,10,CITY_A,0.44,0.95,0
0.12,JOB_D,0,4,-0.12,2,6,0.48,0.72,8,0,0.5,0.4,-0.4,7,CITY_A,0.11,0.88,0
0.42,JOB_D,0,1,-0.42,2,1,0.44,0.55,3,6,0.9,0.2,-0.2,2,CITY_A,0.6,0.13,0
0.12,JOB_A,2,2,-0.12,9,3,0,0.59,4,7,0.3,0.4,-0.4,4,CITY_A,0.01,0.95,2
0.79,JOB_A,0,1,-0.79,3,9,0.02,0.27,10,1,0.2,0.4,-0.4,7,CITY_A,0.04,0.95,2
0.81,JOB_D,2,4,-0.81,7,9,0.75,0.86,6,6,0.8,0.7,-0.7,5,CITY_A,0.44,0.93,3
0.48,JOB_A,1,2,-0.48,5,1,0.15,0.68,5,4,0.1,0.7,-0.7,6,CITY_A,0.84,0.96,3
0.64,JOB_C,0,4,-0.64,10,7,0.04,0.01,4,6,0.1,0.6,-0.6,0,CITY_A,0.01,0.01,1
0.06,JOB_D,1,2,-0.06,10,4,0.05,0.43,3,6,0.9,0.9,-0.9,6,CITY_A,0.22,0.82,0
0.73,JOB_D,1,1,-0.73,1,8,0.09,0.1,7,10,1,0.9,-0.9,7,CITY_A,0.37,0.01,1
0.01,JOB_A,2,2,-0.01,9,6,0.29,0.69,6,0,0.8,0.9,-0.9,7,CITY_A,0.11,0.16,1
0.01,JOB_B,2,4,-0.01,2,6,0.32,0.06,4,5,0.8,0.4,-0.4,10,CITY_A,0.67,0.03,1
0.49,JOB_D,2,3,-0.49,3,2,0.01,0.21,9,4,0,0.8,-0.8,3,CITY_A,0.87,0.03,2
0.86,JOB_D,0,2,-0.86,0,1,0.12,0.57,3,10,0.7,1,-1,4,CITY_A,0,0.66,1
0.14,JOB_A,1,2,-0.14,6,10,0.3,0.01,,9,0.6,0.7,-0.7,4,CITY_A,0.01,0.04,1
0.86,JOB_A,1,2,-0.86,4,1,0.35,0.4,,10,0.3,0.8,-0.8,3,CITY_A,0.7,0.31,3
0.01,JOB_B,0,3,-0.01,1,0,0.45,0.68,3,10,0.5,0.5,-0.5,4,CITY_A,0.83,0.14,0
0.09,JOB_C,0,3,-0.09,8,8,0.19,0.97,,7,0.5,0.4,-0.4,5,CITY_A,0.19,0.01,0
0.35,JOB_A,1,2,-0.35,1,9,0.22,0.92,0,10,0.3,0.1,-0.1,8,CITY_A,0.58,0.09,3
0.21,JOB_A,1,5,-0.21,4,10,0.78,0.71,1,5,0.2,1,-1,6,CITY_A,0.02,0.48,3
0.01,JOB_A,1,4,-0.01,10,3,0.12,0.11,6,2,0.9,0.3,-0.3,8,CITY_A,0.2,0.72,0
0.33,JOB_D,1,1,-0.33,4,10,0.23,0.31,0,1,0.8,0.2,-0.2,9,CITY_A,0.38,0.69,1
0.91,JOB_A,1,5,-0.91,7,9,0.84,0.25,6,2,0.1,0.2,-0.2,8,CITY_A,0.02,0.01,3
0.08,JOB_A,1,5,-0.08,1,0,0.04,0.05,6,8,0.8,0.7,-0.7,8,CITY_A,0.06,0.72,0
0,JOB_D,1,3,0,5,6,0.01,0,3,6,0.4,0,0,7,CITY_A,0.82,0.03,2
0,JOB_D,2,4,0,9,5,0.65,0.05,1,2,0.3,0.1,-0.1,2,CITY_A,0.38,0.02,2
0.07,JOB_B,1,3,-0.07,1,9,0.24,0.65,8,1,0.8,0.8,-0.8,3,CITY_A,0.01,0.23,0
0.65,JOB_A,0,3,-0.65,6,10,0.01,0.03,3,7,0.7,0.9,-0.9,10,CITY_A,0.09,0.01,0
0.09,JOB_A,0,1,-0.09,10,8,0.32,0.22,10,4,0,0.1,-0.1,8,CITY_A,0.03,0.41,1
0.15,JOB_B,2,5,-0.15,7,9,0.03,0.07,0,3,0.5,0.4,-0.4,8,CITY_A,0.32,0.02,1
0.29,JOB_A,1,1,-0.29,5,9,0.4,0.08,9,4,1,0.9,-0.9,2,CITY_A,0.71,0.53,1
0.07,JOB_D,1,1,-0.07,6,6,0.04,0.05,8,7,0.3,0.5,-0.5,5,CITY_A,0.39,0.04,2
0.16,JOB_B,1,2,-0.16,8,10,0.06,0.37,6,8,0.2,0.9,-0.9,1,CITY_A,0.27,0.19,3
0.35,JOB_A,1,2,-0.35,1,6,0.6,0.1,1,4,0.3,0.8,-0.8,0,CITY_A,0.03,0.2,2
0.06,JOB_A,1,3,-0.06,0,5,0.92,0.12,,2,1,0.8,-0.8,5,CITY_A,0.07,0.95,0
0.09,JOB_A,1,5,-0.09,4,8,0.08,0.15,4,10,0.7,0.6,-0.6,8,CITY_A,0.94,0.05,1
0.57,JOB_B,2,4,-0.57,8,7,0.49,0.11,7,7,0.7,0.4,-0.4,8,CITY_A,0.92,0.24,2
0.37,JOB_A,2,2,-0.37,10,3,0.96,0.04,7,2,0.8,0.5,-0.5,2,CITY_A,0.07,0.03,0
0.97,JOB_C,0,3,-0.97,1,6,0.35,0.05,,5,0.7,0.2,-0.2,1,CITY_A,0.03,0.57,0
